nohup: ignoring input
2026-09-17 11:37:03,977 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2015.01.tif.gz (attempt 1/4)
2026-09-17 11:37:11,795 | INFO    | ingestion.chirps | Processed 2015-01
2026-09-17 11:37:11,795 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2015.02.tif.gz (attempt 1/4)
2026-09-17 11:37:18,004 | INFO    | ingestion.chirps | Processed 2015-02
2026-09-17 11:37:18,005 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2015.03.tif.gz (attempt 1/4)
2026-09-17 11:37:24,680 | INFO    | ingestion.chirps | Processed 2015-03
2026-09-17 11:37:24,680 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2015.04.tif.gz (attempt 1/4)
2026-09-17 11:37:30,940 | INFO    | ingestion.chirps | Processed 2015-04
2026-09-17 11:37:30,940 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2015.05.tif.gz (attempt 1/4)
2026-09-17 11:37:36,395 | INFO    | ingestion.chirps | Processed 2015-05
2026-09-17 11:37:36,395 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2015.06.tif.gz (attempt 1/4)
2026-09-17 11:37:43,327 | INFO    | ingestion.chirps | Processed 2015-06
2026-09-17 11:37:43,327 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2015.07.tif.gz (attempt 1/4)
2026-09-17 11:37:49,669 | INFO    | ingestion.chirps | Processed 2015-07
2026-09-17 11:37:49,670 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2015.08.tif.gz (attempt 1/4)
2026-09-17 11:37:56,170 | INFO    | ingestion.chirps | Processed 2015-08
2026-09-17 11:37:56,170 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2015.09.tif.gz (attempt 1/4)
2026-09-17 11:38:02,675 | INFO    | ingestion.chirps | Processed 2015-09
2026-09-17 11:38:02,675 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2015.10.tif.gz (attempt 1/4)
2026-09-17 11:38:08,419 | INFO    | ingestion.chirps | Processed 2015-10
2026-09-17 11:38:08,420 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2015.11.tif.gz (attempt 1/4)
2026-09-17 11:38:15,287 | INFO    | ingestion.chirps | Processed 2015-11
2026-09-17 11:38:15,289 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2015.12.tif.gz (attempt 1/4)
2026-09-17 11:38:21,129 | INFO    | ingestion.chirps | Processed 2015-12
2026-09-17 11:38:21,129 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2016.01.tif.gz (attempt 1/4)
2026-09-17 11:38:27,406 | INFO    | ingestion.chirps | Processed 2016-01
2026-09-17 11:38:27,406 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2016.02.tif.gz (attempt 1/4)
2026-09-17 11:38:33,575 | INFO    | ingestion.chirps | Processed 2016-02
2026-09-17 11:38:33,576 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2016.03.tif.gz (attempt 1/4)
2026-09-17 11:38:40,001 | INFO    | ingestion.chirps | Processed 2016-03
2026-09-17 11:38:40,002 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2016.04.tif.gz (attempt 1/4)
2026-09-17 11:38:46,308 | INFO    | ingestion.chirps | Processed 2016-04
2026-09-17 11:38:46,309 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2016.05.tif.gz (attempt 1/4)
2026-09-17 11:38:52,698 | INFO    | ingestion.chirps | Processed 2016-05
2026-09-17 11:38:52,699 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2016.06.tif.gz (attempt 1/4)
2026-09-17 11:38:59,263 | INFO    | ingestion.chirps | Processed 2016-06
2026-09-17 11:38:59,266 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2016.07.tif.gz (attempt 1/4)
2026-09-17 11:39:05,054 | INFO    | ingestion.chirps | Processed 2016-07
2026-09-17 11:39:05,055 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2016.08.tif.gz (attempt 1/4)
2026-09-17 11:39:11,087 | INFO    | ingestion.chirps | Processed 2016-08
